Date,Area,Title,Type,Bedroom,Size,Price
"  Today, 01:22   Gombak   ", Kelana Jaya ,  Service Apartment Kelana Jaya  , Apartments , 2 Bedrooms ,753 sq.ft, RM 680 000 
 Apartments , Kelana Jaya ,  First Sky Facilities in PJ Fully Furnished Package  , Apartments , 3 Bedrooms ,753 sq.ft, RM 580 000 
1130 sq.ft, Puchong ,"  【2nd Floor】[FULL LOAN] Sri Dahlia Apartment, Bandar Puteri Puchong  ", Apartments , 3 Bedrooms ,689 sq.ft, RM 153 000 
 3 Bedrooms , Bangi ,  Apartment dahlia bandar seri putra  , Apartments , 3 Bedrooms ,652 sq.ft, RM 100 000 
 2 Bathrooms , Ara Damansara ,  Lily Apartment in Taman Mayang Jaya  , Apartments , 3 Bedrooms ,940 sq.ft, RM 408 000 
"  Today, 01:18   Puchong   ", Seri Kembangan ,  The Sanderson Suites Bukit Serdang 3r2b For SALE !!!!  , Apartments , 3 Bedrooms ,900 sq.ft, RM 420 000 
 Apartments , Bangi ,  End lot apt sri tanjung bangi  , Apartments , 4 Bedrooms ,800 sq.ft, RM 190 000 
750 sq.ft, Bangi ,  Renovated ground floor apartment  , Apartments , 3 Bedrooms ,864 sq.ft, RM 245 000 
 3 Bedrooms , Klang ,"  Below Market 27% | Pangsapuri Impian Meru, Meru Klang | 857sf Freehold  ", Apartments , 3 Bedrooms ,857 sq.ft, RM 116 700 
 2 Bathrooms , Seri Kembangan ,"  Pangsapuri Ruselia , Equine, putrajaya , Seri Kembangan, puchong MRT  ", Apartments , 3 Bedrooms ,720 sq.ft, RM 150 000 
"  Today, 00:50   Damansara Perdana   ", Seri Kembangan ,"  Ground floor putra indah ,fully reno ,seri kembangan equine,putrajaya  ", Apartments , 4 Bedrooms ,864 sq.ft, RM 280 000 
 Apartments , Bandar Utama ,"  Glomac Centro,One Utama,Kota Damansara,Damansara Perdana  ", Apartments , 4 Bedrooms ,1423 sq.ft, RM 800 000 
2005 sq.ft, Selayang ,"  APARTMENT FOR SALE at JULIA BANDAR BARU SELAYANG, SELANGOR  ", Apartments , 2 Bedrooms ,487 sq.ft, RM 129 000 
 4 Bedrooms , Serdang ,  (Full Loan)* Serdang Perdana Apartment Seri Kembangan  , Apartments , 3 Bedrooms ,720 sq.ft, RM 135 000 
 4 Bathrooms , Damansara Damai ,  Bayu Puteri Apartment Nice Unit  , Apartments , 3 Bedrooms ,850 sq.ft, RM 420 000 
"  Today, 00:20   Puchong   ", Damansara Damai ,  Apartment termurah cheras  ,"
Apartments
","
3 Bedrooms
","852 sq.ft
", RM 155 000 
 Apartments , Balakong ,  Saujana apartment damansara damai  ,"
Apartments
","
3 Bedrooms
","1000 sq.ft
", RM 250 000 
780 sq.ft, Ulu Klang ,  [Ready Tenant Rent RM1300 Sublet] Seri Jasa Apartment walk The Mines  , Apartments , 2 Bedrooms ,516 sq.ft, RM 170 000 
 3 Bedrooms , Ampang ,  Residensi Permata Melawati  , Apartments , 3 Bedrooms ,700 sq.ft, RM 463 950 
 2 Bathrooms , Gombak ,"  For sale (1st floor) SRI WIRA APARTMENT ,UKAY PERDANA, AMPANG  ", Apartments , 3 Bedrooms ,850 sq.ft, RM 265 000 
"  Today, 00:20   Kota Kemuning   ", Puchong ,  PANORAMA SENTUL RESIDEN. Tmn Bullion Batu Caves Gombak  , Apartments , 3 Bedrooms ,1000 sq.ft, RM 490 000 
 Apartments , Damansara Perdana ,  [FREEHOLD LEVEL 1] ORCHID APARTMENT PUCHONG PRIMA 4 min walking to LRT  , Apartments , 3 Bedrooms ,850 sq.ft, RM 245 000 
753 sq.ft, Puchong ,"  Metropolitan square condo damansara perdana,  ", Apartments , 3 Bedrooms ,1130 sq.ft, RM 900 000 
 3 Bedrooms , Kota Kemuning ,  [NON BUMI TENANTED] Apartment Penaga Mas Puchong Near LRT For Sale  , Apartments , 3 Bedrooms ,750 sq.ft, RM 180 000 
 2 Bathrooms , Ampang ,  [FREEHOLD GROUND FLOOR] Pangsapuri Sri Kemuning Kota Kemuning S Alam  , Apartments , 4 Bedrooms ,2005 sq.ft, RM 285 000 
"  Today, 00:10   Ampang   ", Sepang ,  Casamas Court !!! Ukay Bistari 0% Deposit !!! 90% Completed  , Apartments , 3 Bedrooms ,780 sq.ft, RM 363 240 
 Apartments , Cyberjaya ,  Hot Selling Fast Condo at Sepang ! Fast Contact me NOW!  , Apartments , 3 Bedrooms ,753 sq.ft, RM 236 000 
882 sq.ft, Puchong ,  High Rental and High Capital Gain at Cyberjaya! Grad it Now!  , Apartments , 3 Bedrooms ,882 sq.ft, RM 247 000 
 3 Bedrooms , Shah Alam ,  [MEDIUM COST BELOW MV CORNER] Apartment Puchong Permata 1  , Apartments , 3 Bedrooms ,663 sq.ft, RM 235 000 
 2 Bathrooms , Shah Alam ,  [HOT AREA NICE DECORATION] Condominium Prima U1 Shah Alam  , Apartments , 2 Bedrooms ,665 sq.ft, RM 300 000 
"  Today, 00:05   Sepang   ", Shah Alam ,  [ 700SQFT LEVEL 1 ] Flat PKNS Seksyen 16 Shah Alam  , Apartments , 3 Bedrooms ,850 sq.ft, RM 200 000 
 Apartments , Cyberjaya ,  Duplex Townhouse Sri Mahligai Seksyen 9 Shah Alam  , Apartments , 3 Bedrooms ,980 sq.ft, RM 490 000 
663 sq.ft, Saujana ,  New Condo With Promotion in Putrajaya (7 Unit Left)  , Apartments , 3 Bedrooms ,700 sq.ft, RM 399 999 
 3 Bedrooms , Klang ,  (7 Unit Left With Promotion) New Condo in Damansara Damai  , Apartments , 4 Bedrooms ,1913 sq.ft, RM 350 000 
 2 Bathrooms , Batu Caves ,"  Taman Sri Sentosa, Jalan Bendahara, Freehold, Level 3  ", Apartments , 3 Bedrooms ,817 sq.ft, RM 90 000 
"  Today, 00:05   Cyberjaya   ", Shah Alam ,  SKIM 1st HOME FULLOAN Sri Gotong Banjaria [ BULANAN 1K+- ]  , Apartments , 3 Bedrooms ,855 sq.ft, RM 240 000 
 Apartments , Bangi ,  BELOW MARKET VALUE APPARTMENT menara u2 sebelah Aeon Shah Alam  , Apartments , 3 Bedrooms ,1200 sq.ft, RM 300 000 
665 sq.ft, Damansara Damai ,  FREEHOLD Kondominium Pelangi Sg Merab Bangi  , Apartments , 3 Bedrooms ,816 sq.ft, RM 310 000 
 2 Bedrooms , USJ ,  STRATA O DEPO Bayu Saujana Indah Condo | PRIMA Damansara  , Apartments , 1 Bedroom ,450 sq.ft, RM 195 000 
 2 Bathrooms , Kelana Jaya ,"  For Sale= Main Place Residence USJ, Beside LRT Below Market Price!!!!  ", Apartments , 3 Bedrooms ,1070 sq.ft, RM 35 500 
"  Yesterday, 23:45   Puchong   ", Kelana Jaya ,  Service Apartment Kelana Jaya  , Apartments , 3 Bedrooms ,750 sq.ft, RM 680 000 
 Apartments , Puchong ,  First Sky Facilities in PJ Fully Furnished Package  , Apartments , 2 Bedrooms ,615 sq.ft, RM 580 000 
850 sq.ft, Bangi ,"  【2nd Floor】[FULL LOAN] Sri Dahlia Apartment, Bandar Puteri Puchong  ", Apartments , 2 Bedrooms ,753 sq.ft, RM 153 000 
 3 Bedrooms , Ara Damansara ,  Apartment dahlia bandar seri putra  , Apartments , 3 Bedrooms ,753 sq.ft, RM 100 000 
 2 Bathrooms , Seri Kembangan ,  Lily Apartment in Taman Mayang Jaya  , Apartments , 3 Bedrooms ,689 sq.ft, RM 408 000 
"  Yesterday, 23:45   Shah Alam   ", Bangi ,  The Sanderson Suites Bukit Serdang 3r2b For SALE !!!!  , Apartments , 3 Bedrooms ,652 sq.ft, RM 420 000 
 Apartments , Bangi ,  End lot apt sri tanjung bangi  , Apartments , 3 Bedrooms ,940 sq.ft, RM 190 000 
980 sq.ft, Klang ,  Renovated ground floor apartment  , Apartments , 3 Bedrooms ,900 sq.ft, RM 245 000 
 3 Bedrooms , Seri Kembangan ,"  Below Market 27% | Pangsapuri Impian Meru, Meru Klang | 857sf Freehold  ", Apartments , 4 Bedrooms ,800 sq.ft, RM 116 700 
 2 Bathrooms , Seri Kembangan ,"  Pangsapuri Ruselia , Equine, putrajaya , Seri Kembangan, puchong MRT  ", Apartments , 3 Bedrooms ,864 sq.ft, RM 150 000 
"  Yesterday, 23:45   Shah Alam   ", Bandar Utama ,"  Ground floor putra indah ,fully reno ,seri kembangan equine,putrajaya  ", Apartments , 3 Bedrooms ,857 sq.ft, RM 280 000 
 Apartments , Selayang ,"  Glomac Centro,One Utama,Kota Damansara,Damansara Perdana  ", Apartments , 3 Bedrooms ,720 sq.ft, RM 800 000 
700 sq.ft, Serdang ,"  APARTMENT FOR SALE at JULIA BANDAR BARU SELAYANG, SELANGOR  ", Apartments , 4 Bedrooms ,864 sq.ft, RM 129 000 
 3 Bedrooms , Damansara Damai ,  (Full Loan)* Serdang Perdana Apartment Seri Kembangan  , Apartments , 4 Bedrooms ,1423 sq.ft, RM 135 000 
 2 Bathrooms , Damansara Damai ,  Bayu Puteri Apartment Nice Unit  , Apartments , 2 Bedrooms ,487 sq.ft, RM 420 000 
"  Yesterday, 23:10   Shah Alam   ", Balakong ,  Apartment termurah cheras  , Apartments , 3 Bedrooms ,720 sq.ft, RM 155 000 
 Apartments , Ulu Klang ,  Saujana apartment damansara damai  , Apartments , 3 Bedrooms ,850 sq.ft, RM 250 000 
1913 sq.ft, Ampang ,  [Ready Tenant Rent RM1300 Sublet] Seri Jasa Apartment walk The Mines  ,"
Apartments
","
3 Bedrooms
","950 sq.ft
", RM 170 000 
 4 Bedrooms , Gombak ,  Residensi Permata Melawati  ,"
Apartments
","
2 Bedrooms
","803 sq.ft
", RM 463 950 
 4 Bathrooms , Puchong ,"  For sale (1st floor) SRI WIRA APARTMENT ,UKAY PERDANA, AMPANG  ", Apartments , 2 Bedrooms ,516 sq.ft, RM 265 000 
"  Yesterday, 23:09   Cyberjaya   ", Damansara Perdana ,  PANORAMA SENTUL RESIDEN. Tmn Bullion Batu Caves Gombak  , Apartments , 3 Bedrooms ,700 sq.ft, RM 490 000 
 Apartments , Puchong ,  [FREEHOLD LEVEL 1] ORCHID APARTMENT PUCHONG PRIMA 4 min walking to LRT  , Apartments , 3 Bedrooms ,850 sq.ft, RM 245 000 
817 sq.ft, Kota Kemuning ,"  Metropolitan square condo damansara perdana,  ", Apartments , 3 Bedrooms ,1000 sq.ft, RM 900 000 
 3 Bedrooms , Ampang ,  [NON BUMI TENANTED] Apartment Penaga Mas Puchong Near LRT For Sale  , Apartments , 3 Bedrooms ,850 sq.ft, RM 180 000 
 2 Bathrooms , Sepang ,  [FREEHOLD GROUND FLOOR] Pangsapuri Sri Kemuning Kota Kemuning S Alam  , Apartments , 3 Bedrooms ,1130 sq.ft, RM 285 000 
"  Yesterday, 23:01   Saujana   ", Cyberjaya ,  Casamas Court !!! Ukay Bistari 0% Deposit !!! 90% Completed  , Apartments , 3 Bedrooms ,750 sq.ft, RM 363 240 
 Apartments , Puchong ,  Hot Selling Fast Condo at Sepang ! Fast Contact me NOW!  , Apartments , 4 Bedrooms ,2005 sq.ft, RM 236 000 
855 sq.ft, Shah Alam ,  High Rental and High Capital Gain at Cyberjaya! Grad it Now!  , Apartments , 3 Bedrooms ,780 sq.ft, RM 247 000 
 3 Bedrooms , Shah Alam ,  [MEDIUM COST BELOW MV CORNER] Apartment Puchong Permata 1  , Apartments , 3 Bedrooms ,753 sq.ft, RM 235 000 
 2 Bathrooms , Shah Alam ,  [HOT AREA NICE DECORATION] Condominium Prima U1 Shah Alam  , Apartments , 3 Bedrooms ,882 sq.ft, RM 300 000 
"  Yesterday, 22:45   Klang   ", Cyberjaya ,  [ 700SQFT LEVEL 1 ] Flat PKNS Seksyen 16 Shah Alam  , Apartments , 3 Bedrooms ,663 sq.ft, RM 200 000 
 Apartments , Saujana ,  Duplex Townhouse Sri Mahligai Seksyen 9 Shah Alam  , Apartments , 2 Bedrooms ,665 sq.ft, RM 490 000 
1200 sq.ft, Klang ,  New Condo With Promotion in Putrajaya (7 Unit Left)  , Apartments , 3 Bedrooms ,850 sq.ft, RM 399 999 
 3 Bedrooms , Batu Caves ,  (7 Unit Left With Promotion) New Condo in Damansara Damai  , Apartments , 3 Bedrooms ,980 sq.ft, RM 350 000 
 2 Bathrooms , Shah Alam ,"  Taman Sri Sentosa, Jalan Bendahara, Freehold, Level 3  ", Apartments , 3 Bedrooms ,700 sq.ft, RM 90 000 
"  Yesterday, 22:45   Batu Caves   ", Bangi ,  SKIM 1st HOME FULLOAN Sri Gotong Banjaria [ BULANAN 1K+- ]  , Apartments , 4 Bedrooms ,1913 sq.ft, RM 240 000 
 Apartments , Damansara Damai ,  BELOW MARKET VALUE APPARTMENT menara u2 sebelah Aeon Shah Alam  , Apartments , 3 Bedrooms ,817 sq.ft, RM 300 000 
816 sq.ft, USJ ,  FREEHOLD Kondominium Pelangi Sg Merab Bangi  , Apartments , 3 Bedrooms ,855 sq.ft, RM 310 000 
 3 Bedrooms , Kelana Jaya ,  STRATA O DEPO Bayu Saujana Indah Condo | PRIMA Damansara  , Apartments , 3 Bedrooms ,1200 sq.ft, RM 195 000 
 2 Bathrooms , Kelana Jaya ,"  For Sale= Main Place Residence USJ, Beside LRT Below Market Price!!!!  ", Apartments , 3 Bedrooms ,816 sq.ft, RM 35 500 
"  Yesterday, 22:34   Shah Alam   ", Puchong ,  Service Apartment Kelana Jaya  , Apartments , 1 Bedroom ,450 sq.ft, RM 680 000 
 Apartments , Bangi ,  First Sky Facilities in PJ Fully Furnished Package  , Apartments , 3 Bedrooms ,1070 sq.ft, RM 580 000 
450 sq.ft, Ara Damansara ,"  【2nd Floor】[FULL LOAN] Sri Dahlia Apartment, Bandar Puteri Puchong  ", Apartments , 3 Bedrooms ,750 sq.ft, RM 153 000 
 1 Bedroom , Seri Kembangan ,  Apartment dahlia bandar seri putra  , Apartments , 2 Bedrooms ,615 sq.ft, RM 100 000 
 1 Bathroom , Bangi ,  Lily Apartment in Taman Mayang Jaya  , Apartments , 2 Bedrooms ,753 sq.ft, RM 408 000 
"  Yesterday, 22:25   Bangi   ", Bangi ,  The Sanderson Suites Bukit Serdang 3r2b For SALE !!!!  , Apartments , 3 Bedrooms ,753 sq.ft, RM 420 000 
 Apartments , Klang ,  End lot apt sri tanjung bangi  , Apartments , 3 Bedrooms ,689 sq.ft, RM 190 000 
1070 sq.ft, Seri Kembangan ,  Renovated ground floor apartment  , Apartments , 3 Bedrooms ,652 sq.ft, RM 245 000 
 3 Bedrooms , Seri Kembangan ,"  Below Market 27% | Pangsapuri Impian Meru, Meru Klang | 857sf Freehold  ", Apartments , 3 Bedrooms ,940 sq.ft, RM 116 700 
 2 Bathrooms , Bandar Utama ,"  Pangsapuri Ruselia , Equine, putrajaya , Seri Kembangan, puchong MRT  ", Apartments , 3 Bedrooms ,900 sq.ft, RM 150 000 
"  Yesterday, 22:24   Damansara Damai   ", Selayang ,"  Ground floor putra indah ,fully reno ,seri kembangan equine,putrajaya  ", Apartments , 4 Bedrooms ,800 sq.ft, RM 280 000 
 Apartments , Serdang ,"  Glomac Centro,One Utama,Kota Damansara,Damansara Perdana  ", Apartments , 3 Bedrooms ,864 sq.ft, RM 800 000 
750 sq.ft, Damansara Damai ,"  APARTMENT FOR SALE at JULIA BANDAR BARU SELAYANG, SELANGOR  ", Apartments , 3 Bedrooms ,857 sq.ft, RM 129 000 
 3 Bedrooms , Damansara Damai ,  (Full Loan)* Serdang Perdana Apartment Seri Kembangan  , Apartments , 3 Bedrooms ,720 sq.ft, RM 135 000 
 2 Bathrooms , Balakong ,  Bayu Puteri Apartment Nice Unit  , Apartments , 4 Bedrooms ,864 sq.ft, RM 420 000 
"  Yesterday, 22:21   USJ   ", Ulu Klang ,  Apartment termurah cheras  , Apartments , 4 Bedrooms ,1423 sq.ft, RM 155 000 
 Apartments , Ampang ,  Saujana apartment damansara damai  , Apartments , 2 Bedrooms ,487 sq.ft, RM 250 000 
615 sq.ft, Gombak ,  [Ready Tenant Rent RM1300 Sublet] Seri Jasa Apartment walk The Mines  , Apartments , 3 Bedrooms ,720 sq.ft, RM 170 000 
 2 Bedrooms , Puchong ,  Residensi Permata Melawati  , Apartments , 3 Bedrooms ,850 sq.ft, RM 463 950 
 1 Bathroom , Damansara Perdana ,"  For sale (1st floor) SRI WIRA APARTMENT ,UKAY PERDANA, AMPANG  ","
Apartments
","
2 Bedrooms
","803 sq.ft
", RM 265 000 
"  Yesterday, 22:15   Kelana Jaya   ", Puchong ,  PANORAMA SENTUL RESIDEN. Tmn Bullion Batu Caves Gombak  ,"
Apartments
","
3 Bedrooms
","1022 sq.ft
", RM 490 000 
 Apartments , Kota Kemuning ,  [FREEHOLD LEVEL 1] ORCHID APARTMENT PUCHONG PRIMA 4 min walking to LRT  , Apartments , 2 Bedrooms ,516 sq.ft, RM 245 000 
753 sq.ft, Ampang ,"  Metropolitan square condo damansara perdana,  ", Apartments , 3 Bedrooms ,700 sq.ft, RM 900 000 
 2 Bedrooms , Sepang ,  [NON BUMI TENANTED] Apartment Penaga Mas Puchong Near LRT For Sale  , Apartments , 3 Bedrooms ,850 sq.ft, RM 180 000 
 1 Bathroom , Cyberjaya ,  [FREEHOLD GROUND FLOOR] Pangsapuri Sri Kemuning Kota Kemuning S Alam  , Apartments , 3 Bedrooms ,1000 sq.ft, RM 285 000 
"  Yesterday, 22:10   Kelana Jaya   ", Puchong ,  Casamas Court !!! Ukay Bistari 0% Deposit !!! 90% Completed  , Apartments , 3 Bedrooms ,850 sq.ft, RM 363 240 
 Apartments , Shah Alam ,  Hot Selling Fast Condo at Sepang ! Fast Contact me NOW!  , Apartments , 3 Bedrooms ,1130 sq.ft, RM 236 000 
753 sq.ft, Shah Alam ,  High Rental and High Capital Gain at Cyberjaya! Grad it Now!  , Apartments , 3 Bedrooms ,750 sq.ft, RM 247 000 
 3 Bedrooms , Shah Alam ,  [MEDIUM COST BELOW MV CORNER] Apartment Puchong Permata 1  , Apartments , 4 Bedrooms ,2005 sq.ft, RM 235 000 
 2 Bathrooms , Cyberjaya ,  [HOT AREA NICE DECORATION] Condominium Prima U1 Shah Alam  , Apartments , 3 Bedrooms ,780 sq.ft, RM 300 000 
"  Yesterday, 21:55   Puchong   ", Saujana ,  [ 700SQFT LEVEL 1 ] Flat PKNS Seksyen 16 Shah Alam  , Apartments , 3 Bedrooms ,753 sq.ft, RM 200 000 
 Apartments , Klang ,  Duplex Townhouse Sri Mahligai Seksyen 9 Shah Alam  , Apartments , 3 Bedrooms ,882 sq.ft, RM 490 000 
689 sq.ft, Batu Caves ,  New Condo With Promotion in Putrajaya (7 Unit Left)  , Apartments , 3 Bedrooms ,663 sq.ft, RM 399 999 
 3 Bedrooms , Shah Alam ,  (7 Unit Left With Promotion) New Condo in Damansara Damai  , Apartments , 2 Bedrooms ,665 sq.ft, RM 350 000 
 2 Bathrooms , Bangi ,"  Taman Sri Sentosa, Jalan Bendahara, Freehold, Level 3  ", Apartments , 3 Bedrooms ,850 sq.ft, RM 90 000 
"  Yesterday, 21:55   Bangi   ", Damansara Damai ,  SKIM 1st HOME FULLOAN Sri Gotong Banjaria [ BULANAN 1K+- ]  , Apartments , 3 Bedrooms ,980 sq.ft, RM 240 000 
 Apartments , USJ ,  BELOW MARKET VALUE APPARTMENT menara u2 sebelah Aeon Shah Alam  , Apartments , 3 Bedrooms ,700 sq.ft, RM 300 000 
652 sq.ft, Kelana Jaya ,  FREEHOLD Kondominium Pelangi Sg Merab Bangi  , Apartments , 4 Bedrooms ,1913 sq.ft, RM 310 000 
 3 Bedrooms , Kelana Jaya ,  STRATA O DEPO Bayu Saujana Indah Condo | PRIMA Damansara  , Apartments , 3 Bedrooms ,817 sq.ft, RM 195 000 
 2 Bathrooms , Puchong ,"  For Sale= Main Place Residence USJ, Beside LRT Below Market Price!!!!  ", Apartments , 3 Bedrooms ,855 sq.ft, RM 35 500 
"  Yesterday, 21:40   Ara Damansara   ", Bangi ,  Service Apartment Kelana Jaya  , Apartments , 3 Bedrooms ,1200 sq.ft, RM 680 000 
 Apartments , Ara Damansara ,  First Sky Facilities in PJ Fully Furnished Package  , Apartments , 3 Bedrooms ,816 sq.ft, RM 580 000 
940 sq.ft, Seri Kembangan ,"  【2nd Floor】[FULL LOAN] Sri Dahlia Apartment, Bandar Puteri Puchong  ", Apartments , 1 Bedroom ,450 sq.ft, RM 153 000 
 3 Bedrooms , Bangi ,  Apartment dahlia bandar seri putra  , Apartments , 3 Bedrooms ,1070 sq.ft, RM 100 000 
 2 Bathrooms , Bangi ,  Lily Apartment in Taman Mayang Jaya  , Apartments , 3 Bedrooms ,750 sq.ft, RM 408 000 
"  Yesterday, 21:30   Seri Kembangan   ", Klang ,  The Sanderson Suites Bukit Serdang 3r2b For SALE !!!!  , Apartments , 2 Bedrooms ,615 sq.ft, RM 420 000 
 Apartments , Seri Kembangan ,  End lot apt sri tanjung bangi  , Apartments , 2 Bedrooms ,753 sq.ft, RM 190 000 
900 sq.ft, Seri Kembangan ,  Renovated ground floor apartment  , Apartments , 3 Bedrooms ,753 sq.ft, RM 245 000 
 3 Bedrooms , Bandar Utama ,"  Below Market 27% | Pangsapuri Impian Meru, Meru Klang | 857sf Freehold  ", Apartments , 3 Bedrooms ,689 sq.ft, RM 116 700 
 2 Bathrooms , Selayang ,"  Pangsapuri Ruselia , Equine, putrajaya , Seri Kembangan, puchong MRT  ", Apartments , 3 Bedrooms ,652 sq.ft, RM 150 000 
"  Yesterday, 21:25   Bangi   ", Serdang ,"  Ground floor putra indah ,fully reno ,seri kembangan equine,putrajaya  ", Apartments , 3 Bedrooms ,940 sq.ft, RM 280 000 
 Apartments , Damansara Damai ,"  Glomac Centro,One Utama,Kota Damansara,Damansara Perdana  ", Apartments , 3 Bedrooms ,900 sq.ft, RM 800 000 
800 sq.ft, Damansara Damai ,"  APARTMENT FOR SALE at JULIA BANDAR BARU SELAYANG, SELANGOR  ", Apartments , 4 Bedrooms ,800 sq.ft, RM 129 000 
 4 Bedrooms , Balakong ,  (Full Loan)* Serdang Perdana Apartment Seri Kembangan  , Apartments , 3 Bedrooms ,864 sq.ft, RM 135 000 
 2 Bathrooms , Ulu Klang ,  Bayu Puteri Apartment Nice Unit  , Apartments , 3 Bedrooms ,857 sq.ft, RM 420 000 
"  Yesterday, 21:05   Bangi   ", Ampang ,  Apartment termurah cheras  , Apartments , 3 Bedrooms ,720 sq.ft, RM 155 000 
 Apartments , Gombak ,  Saujana apartment damansara damai  , Apartments , 4 Bedrooms ,864 sq.ft, RM 250 000 
864 sq.ft, Puchong ,  [Ready Tenant Rent RM1300 Sublet] Seri Jasa Apartment walk The Mines  , Apartments , 4 Bedrooms ,1423 sq.ft, RM 170 000 
 3 Bedrooms , Damansara Perdana ,  Residensi Permata Melawati  , Apartments , 2 Bedrooms ,487 sq.ft, RM 463 950 
 2 Bathrooms , Puchong ,"  For sale (1st floor) SRI WIRA APARTMENT ,UKAY PERDANA, AMPANG  ", Apartments , 3 Bedrooms ,720 sq.ft, RM 265 000 
"  Yesterday, 21:00   Klang   ", Kota Kemuning ,  PANORAMA SENTUL RESIDEN. Tmn Bullion Batu Caves Gombak  , Apartments , 3 Bedrooms ,850 sq.ft, RM 490 000 
 Apartments , Ampang ,  [FREEHOLD LEVEL 1] ORCHID APARTMENT PUCHONG PRIMA 4 min walking to LRT  ,"
Apartments
","
3 Bedrooms
","850 sq.ft
", RM 245 000 
857 sq.ft, Sepang ,"  Metropolitan square condo damansara perdana,  ","
Apartments
","
3 Bedrooms
","849 sq.ft
", RM 900 000 
